original,generated
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.俺が金払ってやるよ、てか加藤純一
Q.今力加減についてどう思う？ A.,Q.今力加減についてどう思う？ A.今力加減を完全にミスった23は入るんすよ入れるつもりでいく23はうわー惜しいこんな地道にFIFA23練習してる配信はいねえだろ
Q.美容についてどう思う？ A.,Q.美容についてどう思う？ A.美容院作りたくてさなんかでもやるならちゃんとやってあげないとさ全然でかいキャバでやんないよ
Q.気についてどう思う？ A.,Q.気についてどう思う？ A.やっぱりそうだよな気のせいだよなまさか俺がそんな初歩的なミスするわけないよねリーダーだけど 俺リーダーなんだ
Q.最後ボール気味についてどう思う？ A.,Q.最後ボール気味についてどう思う？ A.もうここはパワーで行くしかないホームラン打たれても1点勝ってん だからもう真ん中でいいよスタート丸いのがやだだろマジで真ん中でいいストレートで最後ボール気味のフォーク
Q.逆方向についてどう思う？ A.,Q.逆方向についてどう思う？ A.俺が教えたのセンターから逆方向にも打てるぞって入ってきた岡本甘い弾きたら受け売ってけよ
Q.こと一回についてどう思う？ A.,Q.こと一回についてどう思う？ A.だって過去にさ女絡みで色々炎上したけどダソクさんから女性の悪口聞いたこと一回もないんだよ一度撮ってないんだよ
Q.喉についてどう思う？ A.,Q.喉についてどう思う？ A.ただなんかFEVERって別に喉休められるでしょ
Q.設定についてどう思う？ A.,Q.設定についてどう思う？ A.ちなみに前まではカメラは強力じゃなかった前までの設定教えてくんね
Q.本心今についてどう思う？ A.,Q.本心今についてどう思う？ A.今ぐらいのこの感覚が多分本心今ぐらいのな 配信で雑談してる時ぐらいが本心かな
Q.桜についてどう思う？ A.,Q.桜についてどう思う？ A.「あれはでも、あれでしょ、あげてるやつのさ、桜でしょw
Q.出身双子山部屋についてどう思う？ A.,Q.出身双子山部屋についてどう思う？ A.ハワイねーかあった嘘ハワイオワフ島出身双子山部屋あった?
Q.ヒットについてどう思う？ A.,Q.ヒットについてどう思う？ A.まっすぐだうおスライダーだあーこれなんかちょっとポテンヒットっぽいうーん打ち取ってたけどな
Q.返信ありについてどう思う？ A.,Q.返信ありについてどう思う？ A.さらにこれで返信ありの星を外していけばいいんだ
Q.120についてどう思う？ A.,Q.120についてどう思う？ A.俺はちなみに配信中は女って言ってるけど 18歳以上のことは18歳から120歳までのあの女のことを女性って呼んでる
Q.必要についてどう思う？ A.,Q.必要についてどう思う？ A.そこはやめとけよみたいなここにそんなリスク取る必要なくない?と思っちゃうんだけど
