,text
487,マレーアンディマレー サンプラスアンドレアガシー とかの方が知ってる 理由はあの スマッシュコートやってたから フェデラー引退するってなった時に こんだけ騒がれてる人だから すごい人なんだろうなと思って調べたらみんながなんかフェデラーありがとうみたいな ネパールユーチューバーのネパールとかも動画上げてて すごい人だったんだなぁ 洋楽俺死ぬほど気分俺ブルーノマーズって知らなかったんだよ あともう一人じゃんブルーノマーズともう一人 今一番人気のやつは ちょっと小太りでヒゲ生えてるやつ 江戸シーランとブルーノマーズ俺知りません 知らない カニエウエストも知らない ジャスティンビーバーを知ってる わかんねーんだ 音楽聞かないねー 音楽聞かないだけで老害にならないでしょ それはあれだよ価値観を押し付けてるだけだよ そんなこと言ったら松井のこと好きじゃないお前らなんか本当ゴミだと思ってるこれ ブルーノマーズ知らないんですかっていうやつに聞きたい 松井を知らないんですかって ミスチルのライブ超いいところで見させてもらったけどなんか変な裏口から入る超ビップルームみたいなところで知り合いの人がなんか席取ってて 何にも関係ないんだけど お前らのこと知らないんだよ 恥ずかしいことしてるって認識はあります 松井の写真飾ってあるじゃん でも恥ずかしいじゃん ビップルームに松井の写真飾ってあった マツイとイチローどっちとは痛い? いやここ落ち着けがたい ここ落ち着けがたいね じゃあ前からマツイと織田信長が歩いてきたらどっちと握手する? 織田信長を切り捨ててマツイと握手する ナルビッシュとツダどっちとは痛い? コーツつけがてぇ え?ツダってツダツネミだよね?そうだよね 炎もソファでね あそっかみんなにとっていう今の若い野球ファンにとって見る大谷翔平みたいな感覚だろうね 俺のマツイとかイチローって やっぱ年下って戦亡というより尊敬はあるけど戦亡のまなざしで見たいんだよ あすげぇ頑張れよほんとに頑張れって応援しとるけど 年上ってやっぱなんかもうねある種恐怖を感じるの 計り知れない 思い出補正もあるからなぁ やっぱね憧れを抱くのって年下より年上なんだよな ちっちゃい頃に影響を受けた マツイのために俺左打ちにしたんだよ 誰かを模倣して何かを変えるってやっぱ年下より年上の人が多いから 俺二刀流はしないわけじゃん 大谷のことすげぇ尊敬してるけど二刀流は始めないのよ 年取っちゃってるから
447,あいつが子供卸そうか知ったこっちゃねえ。 3割打てばいいから。 ガキじゃねえんだからさ。 3割打つか否か。 俺の中の坂本に期待してることを。 打つんか?打たねえんか? それに対して田村敦史が なんで坂本だけは報道されないんだみたいなバカなこと言ってたけど されねえだろ。子供卸したニュースなんか流すんじゃねえよお茶の間に気持ち悪いな。 子供が見たらどうすんだ。ほんとバカしかいねえんだなと思っちゃった。 流すな。 てめえらに脳みそいかれてるからさ。 なんでもかんでも報道すればいいって思ってるかもしんないけど 子供が見たらどうすんだ。 ねえねえお兄ちゃん打体って何?って聞かれたら てめえ責任取れんのかと思った。 アメリカだと打体はニュースならどういう? どういう風に? お前の写真無駄使用してた配信者が彼女に忠烈させてくれる。 いいじゃん。知らねえよ。なんで? みんなほんと忠烈好きだよね。 なんで忠烈好きなの? だったら同じようなそういうニュースだったら 俺がオススメのニュース教えてあげるよ。 これいいぞ。これいいぞって考えさせられるぞ。 履歴ってどうやって見るんだっけ? 自分のYouTubeの履歴って検索か? 履歴ってどうやって見るっけ? 左上のマーク。ホーム? パソコンだよ。 あ、これだ。 あれ?違う。 ちょ、待ち。 履歴じゃなくてこっち見てくれ。 じゃあオススメの動画のコーナー。 まだ50代なのに若年性認知症の診断。 受け入れられない。逃げ場を失った家族の叫び。 全国で3万5千人。これABCテレビニュース。 NNNドキュメント。最後までアイドルとして…。 ガンと戦ったマリアマカリン21年の人生。 NNNコレクション。 左手一本で生きる偽則と共に歩む未来を開く最新AI技術とは? 読売テレビニュース。 15秒に1回、無意識に声が出る悪魔の病気。 トゥレットショート戦うウーバー配達員。 CBCドキュメンタリー。 SDGS。発達障害の子供たち家族と願いと寄り添う施設。 読売テレビニュース。 治らない病気B型肝炎。一生続く治療にガンの発症も。 読売テレビニュース。 これが一番考えさせられた。 朝起きたら突然手足が動かない年間数例の珍しい病気に襲われた女の子。 SNSで伝えたい思いとは? HTB北海道ニュース。 悲しかった。 これ見ろ。 現実から目を背けるな。 読売テレビニュース。 家族との最後、診療訪問を続ける息子の決断。 読売テレビニュース。 大谷翔平ニュース。
45,うさんくさいインフルエンサー いわく次はラジオとかの音声 コンテンツが来る いやだってさ youtubeでもさ ショート動画の人の勢いってやばくない 再生数とんでもないくらい いってるよね 俺もなんか見ちゃうしな 1分でいいんだもん 30分も時間使いたくねーじゃん でやっぱ そのユーチューバーの ショート動画って面白くないんだよな 何にも面白くない 筋肉系 筋肉と料理とか 弁護士のやつとかも あんま見たことないけど あの人もすごいよね あれって収益化されてんの ショート動画って 俺ショート動画上げたことないからわかんないけど あと両足ない女の子の 明るいやつは見てるめちゃくちゃ やっぱその辺の強い層がいるんじゃない 雀の涙なんだ すごいかわいい両足切断しながら モデルやってるかわいらしい女の子いるんだ 俺応援してんだよ チャンネル登録者数10万人くらい 名前忘れちゃったけど 足は姫にあげたチャンネルみたいなやつ 視聴者からメール来て 面白かった 脳死サブスク導入してるのに 脳死スパチャ批判するのなんだ それがわからないのは モクオが240円舐めてんじゃねーよって 言ってたけど 俺は違う金って額によって重み違うと思うんだ おめーらから5万10万 投げてもらうのは申し訳ねー 俺やっぱ気持ち悪さを感じる 配信中に1万円2万円 っていう額が飛び交って 赤く表示されて お人客みたいなのが気持ち悪い 普通じゃない 当たり前のようにみんな投げてるけど 俺は当たり前じゃないと思う 500円だったらまあいいかなって正直思っちゃう そしてやぞ あいつは散々してるじゃん 豪快に使ってるけど それで貧乏ぶって投げさせるのは ちょっと 気色悪い 俺はな いいんじゃないか 俺はやめときなって言いたい顔だから 異常だよ そう 雨プラのついでにサブスクするのが一番いいわ あれ寄付してんだ やば いや500円と1万円とか5万円全然違うから 実際もんだ 確かにね 結婚式で5万円投げようと思ってるんですが 1万円でも読んでくれますか 5万円からしかコメント読まないよ 1文字5万円で 俺は 読むかな サブスクギフト投げられてる よくわかんないけど サブスクギフト バラまけるらしくてさ それでもとがめられないもん俺 禁止できないもん サブスクの額上げてもいいけど それはそれでまた違うだろう おめでとうに25万かかるじゃねえか ちょうどいいね 計らずも約束の額だね 俺最近雨プラで入ってからウォッチパーティーしろよ お前がいなかったらやろうかなと思ってたけど
343,いいなって思ったけど 男性は正直戦力にならないなって思った あそこやっぱ女よ 女が一番、女の体のこと分かってるから DLCこれだ この日? ゼルダの伝説ブレスオブザワイルド ブレスオブワイルドDLCをやるっていう放送か うわこの日じゃん 2018年11月31日 めちゃくちゃやっとるやん しばらくお待ちください お待ちください めちゃくちゃやっとるやん しんないじゃんこれ うちの母ちゃんが どの面先でやってんの 日付変わったから30 チャンネル登録者数19万人だって 絶対見せちゃいけない画面今見せてます 情弱すぎない? うわぁドラクエモンスターズやりてぇ 切れる ボコボコンボがないお前は ただのクルーズだから人品だから なんかクレーンで攻撃してる奴がいるな 貴様が よかろう お前弓に自信ないんだよな あれ俺が落ちた 本来かわす 本来のかわし方じゃないけど しかも後半お母さん死んだよっていう連絡来てるから コア色一つ変わってないのマジで怖い じゃあ2球逆さまおうか だいぶ順調に来てるね えこれ家の中でタバコ吸ってんだこれ 注意ってさ最初さ どこよ 最初なんだった ソラだったのか 飛ぶダンジョンだった うわぁ画面1画面だからこれ 今はさ左のモニターに映ってるけどこれ シングルモニターでやってたから超大変そう レジデアかなるほど 闇のダンジョンに変わったね うわタバコ吸いたぁ 面白い 極意とかなんかもう15時間くらいかかりそう本気で 15回以降まで行っちゃったらさ 戻れねえぞ引き返せねえとこまで来るぞ 木製武器もうやんか やりたい 早く 早っ 一発絶対決めるよ でこいつもガードもらって でガード装備して 時期が変わりやがった えなんか随分難しそうなゲームですね おい出勤してくんじゃねえ お前出勤してくんじゃねえ 休んどけ これ難しかったよね よし で あいあいあいあいあいあいあいあいあいあい あいと やべ 終わり際なんて言ったんだろ これはいいゲームやね このあとすぐ俺枠取ったんじゃないこの 俺はこの剣の試練 極意に挑んでいくのであった ちょっと待って武器はさちゃんと あ あこれはあれか今の ちょっと待って見せろ見せろ見せろ見せろマスターソードの強さを 30だったのが あとすまん俺が言ってんのこれじゃなくて次の配信出る この段階で50って最強じゃねえか これさ俺今度からさ もう決めたわ 次の配信ってもうこれ張るわ これ俺が見ててイライラする 次の配信探しづらくない もうこれマジでもうずーっともやもやしてたの もう張るわ 毎回張るわ
46,計らずも約束の額だね 俺最近雨プラで入ってからウォッチパーティーしろよ お前がいなかったらやろうかなと思ってたけど なんで日本だけ投げ線圧倒的に多いんだろう わかんないなんだろうね いやでもあれはバーチャルユーチューバーの文化なんじゃない 他の配信者もバカバカ投げられてるわけじゃないと思うよ イセイがやっぱ投げるからね それか もう本当に盲信してる 宗教の教祖 なんかここみたいな 宗教の教祖様がいるような配信 もしくは イセイの コロネちゃんみたいなやつしか投げてくんねえんじゃねえ 普通に 投げなくない もったいないじゃん 1万円って稼ぐの大変だからね 多分 用事あるから最後まで見れないけど応援してます 頑張ってね あとコウスケ君はいいところもいっぱいあるからたまにでいいから動画見てねバイバイ なにこの コウスケのママ サブスクギフトとアカスパの違いってなに 普通にそれこそお前が管理してないんだよ 分かった もう俺がいくらスパチャで稼いでも お前の懐には入んねえから もういいよじゃあ俺の負けでいいよ お前にお金やれよじゃんほらこうやって な サブスクの仕方も分かんねえんだ 俺自分に 興味ねえんだしなくていいから あんまりこう言うとさ 嫁に怒られるし 最大者の言うセリフじゃねえけど いいよみんな お金俺いっぱい稼いでるからな もうやめて しなくていいんだ 奥さんに謝んなきゃいけない ごめんな バーチャルユーチューバーにしてやってくれ な 外国人 外人の配信者も日本カモにする ええ そうなんだ 去年のスパチャ世界ランキングは トップ10人のうち 9人がバーチャルユーチューバーで 残りが宗教外人 じゃあ今年1位は俺だわ じゃあ8人がバーチャルユーチューバーで 1人が宗教外人でもう1人が宗教の教師 なんかそういう文化があるんだろうな 異常だね 去年の年間1位は1億9千万 はあ スパチャだけで 1億9千万ってやばくない 2億円投げてんだ だってさ それさまるまるさ 本人に届いてないんだよ 本人に届くの6分の1くらいだぜ もったいねえ 20%とかだよねたぶんね お前ユーチューバーなめすぎ 1日じゃ絶対1位になれない いやお前それ俺なめすぎだよ 俺10億いくつってんだろお前 それお前加藤純一なめすぎだよ お前俺の13年間 加藤純一の1日じゃないぜ 加藤純一の13年間が業績が 業績がなめすぎだよ 俺の13年間 加藤純一の1日じゃないぜ 加藤純一の13年間が業績された1日だぞ 目標50億にしよう 今見たらツイッチ登録者数50万人いってる
379,頭悪い奴しかいねえと思うわ、俺 高い時計買ってる奴って なんの意味があるの ちなみに俺は、若い頃に 奮発して 当時100万円ぐらいだった デートなかったけど、引っ越しの時に無くした それ以来、俺は 絶対買わないって決めた 100万円ぐらいだったら、話は別だよ だけどさ、俺の言う高い時計って 500万ぐらい 流石に無い 無くなったら 資産になれよ 年取ると好きになるのかな 結構年取ったけど まだ好きにならないんだけど 36でさ まだ好きになってないってことは ここからまだあるかな 40、50になって いや車はだって移動できるじゃん 時計って何の意味があるの 見てかっこいいみたいな リアルに G-SHOCKとかが一番 さっき猫の肛門を舐めた際に 肛門の周辺の一番トゲトゲしい 毛が顔中に付いて 今地獄みたいになってます マジで えげつない トゲトゲしい短い毛がもう 顔中に付きまくってる 1000万円の時計して外出れなくない 税金対策にならないと思う 時計って経費で落ちないんじゃないかな どうなんだろう 熱っ 出れないよね おい え どういうこと よし 3点方式で出てみるわ 冷たい 部屋を涼しくします 奥さんがすごい今はまってんだよな サンジのフィギュアに これ買っていい 何だよ 邪魔だよ 回線やばいね 一瞬つけて なに かわいい なに かわいい めめめが世界一だな 世界一かわいい なにお前の顔 お前のかわいさ めめめどうした なに ちなみに 見てます みんな更新して 一回止まっちゃうと ラグがすごいんだよね また毛が舞っちゃった 奥さん今働いてる うちの嫁俺に切れられてから お金の大事さを知るために 朝の7時から昼の3時まで 奥さんでバイトしてんだ 修行中 今 嫁がいないでいいや 昼間な 朝昼晩で一緒にいたら病気になっちゃうじゃん 丁度いいや お昼いないぐらいが 気が楽でいいや 一人になれて 本来そうあるべきなんだ 一人の時間ってすごい大事だから 昼奥さんがいないで 夜俺が配信してれば いいバランスになるでしょ 残業させられてるらしい こんなに裕福なのに 超低賃金で 残業させられてるらしい 愚痴みたいなのが来るんだけど まあまあって言いながらざまぁみろ 俺は社会は厳しいんだよ って言いながら 本当ざまぁみろ 選挙の時に お稲荷さん600個作んなきゃいけない 朝の6時に出てって 選挙の日 お稲荷さん600個作ってた 俺は本当ざまぁみろ お前が日頃 ユミズのごとく使ってるお金の 大事さを知れと思って いい勉強になってんじゃない 働き始めてから俺に優しいもん すっごい 偉いよな そうでしょ
7,一個人的な意見だけどね 100倍面白かった 西野さんが言ってることは全部正しいし 西野さんはオンラインでつなげてくれるのね 村ができてるの町ができてるの 欲しい情報とかも全部くれるからすごくいい まじでね アンナチュラル見たおもろかった アンナチュラルの今度やろう アンナチュラルがアマプラに来たら パーティーしてアンナチュラルレモン選手権やろう 絶対にアンナチュラルほど 分かりやすいタイミングでレモン流してくれるコンテンツないのね 聞いた! 夢ならばみたいな感じで今度やろう 俺まじで1話でそれに気づいて 残りの10話全部当てたんだから もうここしかねえだろみたいな あの 夢ならばどれほどよかった 完璧だろ アンナチュラルあるやるべえ アンナチュラルお前バカ レモン選手権できるんだ めちゃくちゃいいぞあれ すっ転んだ時のレモン レモン層どっちあれレモン層 ちょっとどっちか分かんないけど多分レモン層 むちゃくちゃいいよ映画もおもろいし レモン層のかかるタイミングもまじでいい おもろいよね 作品としてもおもしろいし いいよね ちょっとおしっこしてくる チンポ出そうかな 打足呼んできて 打足呼んできて合わせさせよう 一発で 台本なし おもしろい あの日の悲しみさえ あの日 アンナチュラルあるんだ めちゃくちゃいいぞーあれ マジであのバカ あれってバカだよね あれアンナチュラルってバカだっけ バカだよね 最高のバカだよ バカはバカでも ははは 何見ようとしてるんですか 見るのやめて 馬やろっかなってしてる今 うるせーっつって ぶっ飛ばすぞっつって うるせーっバカぶっ飛ばすぞっつって 手がウィーニングポストに伸びてる 暴言吐いてやめよう じゃーわかったプペルなんて見るわけねーだろバカって書いて そんで プペルなんか見るわけねーだろバカ ウィープをやるにするがタイトル それがアンナチュラル見るか
385,一番かわいい お前もよ おいめめめちゃん もちまるTV見てんねんよ 一人で自立しろよ お前家のソファ 2、3ヶ月に1回ぶっ壊しさ 壁紙はぐしゃぐしゃにするしさ 病院は2週間に1回連れてくし お前 そっか 1回さ めめめ捨てるじゃん 1回捨ててさ それでさ拾ってさ そうしよう 捨てに行くわ よくない ちょっとマジでやめてごめん ちょっとマジで めちゃくちゃにしないで ちょっとやめ ダメダメダメ もうダメこれは 無限に 稼げるじゃん 買ってきては捨て 一時期流行ったよな その商法 猫に一軒家プレゼントしろ めちゃくちゃ面白そうじゃん 去年か 一時期モコがさ ハムスターに家プレゼントしてなかった そっか 半年経ったら 病んでるっていう 友達にあげちゃえばいいしね 自分で育てなくていいしね 犬飼って捨てるじゃん 公園かなんかに 自分が拾ったかのように見せかけて 半年飼うじゃん そしたらめちゃくちゃ再生数もあるのね 半年経ったら 病んでるんだよって友達にあげちゃったら 無限じゃん 無料対数 お前今日アークつけた瞬間に 落下してるぞ ちょっと待ってくれ 一回さ あれしようね この後パソコン直ったら パソコン一旦つけるけど その件に関しては教えてね なんか今日よう止まるね 多分ね 4Gと5Gのね 切り替えがすごいんだよね やり方が分かんねえ 更新して 適宜 そのうち直るから たまたまもうすぐかな ん?喧嘩してた? はははは ちょっとマジ どっちが勝つか見よう 勝った方しか育てないわ俺 俺子供2人できたら 戦わして勝った方にしか ご飯あげないからね夕ご飯 みんなで応援しよう どっちが勝つか ナオコインかけよう いつも 運命が勝つ もうちょっとで終わる? いけそう? あ、よかったありがとう いけそうっす あとあんまりアーク長時間やっちゃだめだ なんか首が なんかさ ずーっとこうやって 命を狙われてるからずーっとこうやっちゃうから ちょっとなんか リラックスして 2時間ぐらいに 収めとく ダメよお前ら いい加減にして あんないつも喧嘩して 大バカサンタロウどもら 俺が怒られるんだからなこうやって ぐちゃぐちゃにしたら よっこらせっと なんかいつもと 距離も違うからコメントも見づれぇわ 早くパソコンの部屋に入りたい あああああ うおー おー これテレビで見てるときコメントって上にスクロールできないのかな? おすすめのヘアバンドありますか? いつも配信中、髪が伸びてくるとヘアバンドしてるから そういう需要も出てきました おすすめのヘアバンドなんてありません セブンイレブンで買ってください
467,"超パーティー?2,3年くらい前?もっと前か 5年くらい前か 歌歌うっていう コウスケとなんか歌う?みたいな イベントに出演するってなったら前日かなんかに会ったの俺 タクシーで移動しててお前緊張しねーよって言ってたら楽しみっすねって言って それって俺幕張メッセで5,000人だか7,000人だかの前で 歌った時1週間の飯が喉通らずに寝れなかったんだよほとんど やっぱ向き不向きってあるんだよ ハンジョーもそうだね 逆に何ならできる 何だろう 虫食えるなんて誰でもできんだよ カメラ回っててゴキブリ食えるなやつなんて配信じゃやめたほうがいいぞ 何の抵抗もなかったもん俺ゴキブリ初めて食ったけど こんなもんか サソリは辛かったんだって本当に あのね食べるんじゃなくて摂取が辛いやっぱちょっと 大きいから 殺しね殺すんだもん そこまでして再生数欲しい いや俺ねそのその企画上がった時に下手者食う動画って絶対伸びないよね だって俺も見たくないもんキモいもん なんで再生数取れないってのがわかってる動画で俺こんなに無茶して虫食ってんだろ あれ佐賀なのマジで 佐賀なの なんつーの いやじゃあなんつーの でもさもっとさわかりやすく再生数取れるやつあるじゃん 見合ってなくない きつくない 虫食うの 正直に言って虫食った後吐いたほうが全然吐いてない ただ具合悪かったよ ちゃんと毒の味したし なめくじも気持ちよかったなぁ でも自分の限界シリーズ何ならできないんだろうってさっき考えるの 動画でも配信でもできないことってなんだろうなって それのその 加藤さん何ならできないですかシリーズの動画1回撮ったのね 企画会議みたいなので で俺ゴキブリは食えないって言ったの さすがにでも虫食うの無理 いやスカイダイビングなんか全然余裕でできる はっきり言うけど嫌なフリするけど俺高所教授だけど スカイダイビングなんかもう全然余裕でできる うんこは全然食える 何だろうなぁ 昨日ゆーたがFF10やってるのちょっと見せてよ深夜の 2時ぐらいになんか半夜と飯食っててその時間 携帯でパッと見たらおゆーとFF10やってると思って ちょうどジェックと戦ってた 2日でクリアしたんだ30 何時間やってるんですよね 初見で雷200くらい下げてた 天才だよじゃあ あれ何が撮れるんだっけなぁ リュージング3みたいな あれ何が撮れるんだっけなぁ リュイリュイのやつか ライジングサンみたいな なんだっけなんとかなんとか玉ねぎ"
469,いないと知らないけどさ いたらさ断りづけずれえじゃん みどりさんとかだったらさ 断りやすいじゃん 誕生日ご飯食べ行こうよ ずらしてご飯とか行くかも いつまた声優と付き合ってる気がする なんで声優そんな好きな 声優好きなのか 緑お前と僕から祝って あー緑さんの誕生日 めちゃくちゃ豪勢に祝ったよ そういえば死ぬほどうまい焼肉 連れてった気がする あれいつだっけな キャバクラ配信大きさに怒られませんよ 怒らないでしょ 配信してたら安心じゃん コソコソするよりはね LINEとかしてなきゃだいぶじゃない あの配信でキャバ女1人組んだ時 そりゃ知らん 本当にノリで言ったからな もこは仙台行った時に店に入ってすぐ1名ですって答えたのに 店員が2名様ご来店ですって言って席に案内してたから確定だった だとしたら攻めすぎだろ なんかよくいるじゃんAKBでセックスしながら配信してたみたいな感じでさ 配信つけてやんねえだろ なんのお前周知プレイだよ 同情がありすぎるだろ その前の日もホテルで1名ですって言われてたのに 後ろの方お連れですかって言ってばれちゃう あいつ33のクソジジイもカレー臭まみれのチビクソジジイなんだからね 女の1人や2人いない方が問題だろ お前ら異常者なんだよ 32歳で彼女できたら良かったねってなるんだよ普通は 彼女いんの? お前ら異常なんだよ いるんだよ 特別なことじゃねえんだよ 女がいることなんだよ 別に普通なんか隠さないやん バレたらさなんかあれじゃん 危ねえじゃん普通に じゃあお前らの彼女と住所と名前とさ出してみ 怖いよ それって別に後ろめたいから隠してるわけじゃなくて 男って女の子守ってるんだけど 女ってバカで弱いのね 殴ったら殺されちゃうの 普通の男だったら この女守ってやらなきゃいけないなって 隠してあげるの 表に出さねえんだよ モーコンは身長20センチぐらい モーコンなんかお前ら直接会ったことないだろ 身長120センチしかないんだよ 守ってあげれないんだよ 小学校2年生と同じぐらいなんだから 124ぐらいだよ だってモーコンの彼女の肩の上に乗って この前中野かなんかで 中野で目撃されるって言うじゃん なんか見覚えある奴いんなーって言ったら 変な160センチぐらいの女の子の 肩の上にモーコンが乗ってたんだもん モコンかーって 守ってあげれないんだよ だからピカチュウと サトシとピカチュウと同じぐらいの年にしてたよ 最初ピカチュウかなと思ったら モコンだった 言わねえだろ普通 友達でもねえのに
